CODICESCUOLA,Provincia,DENOMINAZIONESCUOLA,description:it
UDIC827004,UD,Istituto Comprensivo di Faedis,Istituto Comprensivo
UDMM848027,UD,A. Schweitzer - San Giovanni,Scuola Primo Grado
UDEE85301P,UD,Fraz. Ospedaletto,Scuola Primaria
UDAA84505P,UD,Fratelli Cervi - Venzone,Scuola Infanzia
TSIS001002,TS,Da Vinci - Carli - De Sandrinelli,Istituto Superiore
UDMM098007,UD,CPIA 1 UDINE,SCUOLA PRIMO GRADO
UDMM85201T,UD,Sms Pellegrino Da S. Daniele,Scuola Primo Grado
TSMM81001N,TS,Italo Svevo,Scuola Primo Grado
GOPC00101D,GO,Dante Alighieri,Liceo Classico
UDMM81201B,UD,A. Matiz - Paluzza,Scuola Primo Grado
UDIC821005,UD,Destra Torre - Aiello del Fr.,Istituto Comprensivo
PNEE827027,PN,Cordenons-nogaredo E. De Amicis,Scuola Primaria
GOAA81005T,GO,Brigata Avellino,Scuola Infanzia
UDAA848056,UD,San Giovanni Al Nat/v.Scuole,Scuola Infanzia
UDTF00601Q,UD,D'aronco - I.T.I.,Istituto Tecnico Industriale
UDEE81105R,UD,Marconi -palazzolo Dello Stella,Scuola Primaria
UDEE831041,UD,Gugliemo Marconi - Moimacco,Scuola Primaria
UDMM85301N,UD,Gen. Cantore - Gemona,Scuola Primo Grado
UDEE828034,UD,Madonna di Buja,Scuola Primaria
UDCT705004,UD,Centro Terr.Le Perm. I.I.Sup. Gemona,Centro Territoriale
UDEE85201V,UD,Dante Alighieri,Scuola Primaria
UDAA84502G,UD,Resia,Scuola Infanzia
GOAA81203B,GO,Scuola dell'infanzia Ringaraja,Scuola Infanzia
GOMM814015,GO,V- Locchi,Scuola Primo Grado
UDPS004012,UD,Liceo Scientifico-linguistico Martin,Liceo Scientifico
UDAA812039,UD,Paluzza,Scuola Infanzia
PNAA83201C,PN,Pordenonevittorio Emanuele Ii,Scuola Infanzia
TSEE81003R,TS,San Giusto Martire,Scuola Primaria
UDEE81102N,UD,Galileo Galilei Marano Lag.,Scuola Primaria
UDIC848005,UD,Manzano,Istituto Comprensivo
UDEE85302Q,UD,Artegna,Scuola Primaria
GOIC81000R,GO,Perco,Istituto Comprensivo
UDEE828012,UD,Buia/ S. Stefano,Scuola Primaria
UDMM83101R,UD,I. Nievo - Premariacco,Scuola Primo Grado
PNIS01200E,PN,I.S.I.S. Mattiussi - Pertini,Istituto Superiore
TSEE800025,TS,Dante Alighieri,Scuola Primaria
PNAA83202D,PN,Pordenone-via Beata Domicilla,Scuola Infanzia
UDIC84500N,UD,Trasaghis,Istituto Comprensivo
TSIS00200T,TS,Isis Nautico T. di Savoia - L. Galvani,Istituto Superiore
UDEE82004E,UD,I.M.S.Maria dei Collifraelacc,Scuola Primaria
GOAA800024,GO,Viale Roma,Scuola Infanzia
UDEE81202D,UD,Sutrio,Scuola Primaria
TSIC81000L,TS,Ist. Compr. Italo Svevo,Istituto Comprensivo
PNMM83201L,PN,Sms Centro Storico,Scuola Primo Grado
GOEE81205P,GO,Scuola Primaria Ludvik Zorzut,Scuola Primaria
UDEE81103P,UD,Luigi Sbaiz - Muzzana del Turgn,Scuola Primaria
PNTL012017,PN,Its Sett.Tec.C.A.T Geometri. S. Pertini,Istituto Tecnico per Geometri
GOEE81002X,GO,G.Galilei,Scuola Primaria
TSEE81103L,TS,G. Rodari,Scuola Primaria
UDAA847027,UD,C. Lorenzini Collodi,Scuola Infanzia
UDAA830051,UD,Magnano In Riviera,Scuola Infanzia
UDRI00601V,UD,R.D'aronco,Istituto Professionale Industria e Artigianato
UDAA85301D,UD,Gemona,Scuola Infanzia
TSAA800042,TS,Di Santa Croce,Scuola Infanzia
GOAA81202A,GO,Scuola dell'inf. Pika Nogavicka,Scuola Infanzia
UDEE82003D,UD,G. Ellero Tricesimo,Scuola Primaria
UDAA81207D,UD,Arta Terme/piano D'arta,Scuola Infanzia
TSEE81001P,TS,B. Marin,Scuola Primaria
UDMM81801A,UD,Div.Ne Julia - Fagagna,Scuola Primo Grado
UDAA84602B,UD,Cipì  Terzo di Aquileia,Scuola Infanzia
PNAA833029,PN,Pordenone-via Cappuccini,Scuola Infanzia
GOMM800017,GO,Pascoli Giovanni,Scuola Primo Grado
GOAA81002P,GO,Carlo Collodi,Scuola Infanzia
UDAA847049,UD,Vittorio Podrecca,Scuola Infanzia
UDRI006518,UD,CORSO SERALE IPSIA D'ARONCO,IST PROF INDUSTRIA E ARTIGIANATO
TSAA811019,TS,Bruno Munari,Scuola Infanzia
UDMM830022,UD,A.Angeli - Tarcento,Scuola Primo Grado
UDAA85404C,UD,Verzegnis/chiaicis,Scuola Infanzia
TSEE80101X,TS,U. Gaspardis,Scuola Primaria
PNTD01201R,PN,Itsse Odorico Mattiussi,Istituto Tecnico Commerciale
GOAA80201P,GO,Via Zucchelli,Scuola Infanzia
UDMM81202C,UD,J.Linussio - Paularo,Scuola Primo Grado
UDAA82202V,UD,Scuola Infanzia Pocenia,Scuola Infanzia
GOAA800046,GO,Scuola Materna di Brazzano,Scuola Infanzia
UDEE84503T,UD,Moggio Udinese,Scuola Primaria
PNAA82203X,PN,Porcia-s.Antonio Bruno Munari,Scuola Infanzia
TSEE81004T,TS,D. Lovisato,Scuola Primaria
PNEE83302E,PN,Pn-roraigrande M. Grigoletti,Scuola Primaria
GOIC81200C,GO,I.C. di Lingua Slovena -gorizia,Istituto Comprensivo
UDIS007003,UD,D'aquileia,Istituto Superiore
UDEE81101L,UD,Carducci - Carlino,Scuola Primaria
UDPS01801X,UD,Luigi Magrini,Liceo Scientifico
UDAA85403B,UD,Tolmezzo/betania,Scuola Infanzia
TSEE81102G,TS,G. Foschiatti,Scuola Primaria
UDMM830011,UD,T.Gori - Nimis,Scuola Primo Grado
PNTL01251L,PN,ITG SANDRO PERTINI SERALE,ISTITUTO TECNICO PER GEOMETRI
TSMM800024,TS,De Marchesetti - Sistiana,Scuola Primo Grado
UDAA847016,UD,Gianni Rodari,Scuola Infanzia
UDEE81803D,UD,Via dei Colli - Fagagna,Scuola Primaria
GOMM80201V,GO,Francesco Uldarico della Torre,Scuola Primo Grado
UDMM82002B,UD,A. De Gasperi -reana del Rojale,Scuola Primo Grado
UDIC822001,UD,Cuore Dello Stella - Rivignano,Istituto Comprensivo
PNEE83303G,PN,Pn-cappuccinip.Marco D'aviano,Scuola Primaria
GOAA800035,GO,Scuola Materna di Capriva del F,Scuola Infanzia
TSIC81100C,TS,Ist. Compr. Valmaura,Istituto Comprensivo
PNAA82201T,PN,Porcia - Palse Mariele Ventre,Scuola Infanzia
GOEE81201E,GO,Scuola Primaria Oton Zupancic,Scuola Primaria
UDMM84601E,UD,Pio Paschini - Aquileia,Scuola Primo Grado
UDEE84703D,UD,Vincenzo Gioberti,Scuola Primaria
UDIS006007,UD,D'aronco,Istituto Superiore
TSAA81102A,TS,Jean Piaget,Scuola Infanzia
UDEE830045,UD,ARMANDO DIAZ - TAIPANA,SCUOLA PRIMARIA
TSMM80101V,TS,F.Lli Fonda Savio - A. Manzoni,Scuola Primo Grado
GOAA80203R,GO,A. De Gasperi,Scuola Infanzia
UDAA855037,UD,Pozzuolo Fraz Terenzano,Scuola Infanzia
UDAA83101L,UD,G. Pontoni - Premariacco,Scuola Infanzia
UDAA812028,UD,Paluzza/timau,Scuola Infanzia
TSEE81101E,TS,D. Rossetti,Scuola Primaria
PNAA833018,PN,Pordenone-via Fiamme Gialle,Scuola Infanzia
UDEE81801B,UD,Mons. C. Fabbro -s.Vito di F.,Scuola Primaria
UDAA82305T,UD,Enemonzo,Scuola Infanzia
GOAA813037,GO,San Rocco,Scuola Infanzia
GOTL00801N,GO,N. Pacassi,Istituto Tecnico per Geometri
UDMM84602G,UD,Ugo Pellis - Fiumicello,Scuola Primo Grado
TSAA812015,TS,Franco Panizon,Scuola Infanzia
UDTD01801Q,UD,Giuseppe Marchetti,Istituto Tecnico Commerciale e per Geometri
GOEE801014,GO,V. Alfieri,Scuola Primaria
PNEE822046,PN,Porcia-roraipiccolov.Da Feltre,Scuola Primaria
PNMM82901R,PN,Sms Amalteo Pomponio-tommaseo,Scuola Primo Grado
TSIC80100T,TS,Ist. Compr. Marco Polo,Istituto Comprensivo
GOIC80200T,GO,Francesco Uldarico della Torre,Istituto Comprensivo
GOAA81101D,GO,Via Martiri - Lingua Slovena,Scuola Infanzia
UDEE84701B,UD,Angelo Molaro,Scuola Primaria
UDIC83000X,UD,Tarcento,Istituto Comprensivo
UDIC818009,UD,Divisione Julia - Fagagna,Istituto Comprensivo
UDEE84604P,UD,G. Leopardi - Villa Vicentina,Scuola Primaria
UDEE823042,UD,Sauris,Scuola Primaria
PNAA83303A,PN,Pordenone-via San Vito,Scuola Infanzia
GOAA801031,GO,Villesse,Scuola Infanzia
PNAA81204A,PN,Montereale -s. Leonardo,Scuola Infanzia
GOEE81304D,GO,G.Ungaretti,Scuola Primaria
UDRI00701P,UD,Ipsia Mattioni,Istituto Professionale Industria e Artigianato
TSEE81203C,TS,L. Mauro,Scuola Primaria
UDMM82301T,UD,M. Davanzo - Forni di Sopra,Scuola Primo Grado
UDIS01800D,UD,Magrini Marchetti,Istituto Superiore
UDIC856004,UD,Pasian di Prato,Istituto Comprensivo
GOEE801047,GO,E. De Amicis,Scuola Primaria
PNEE822024,PN,Porcia-palse G.Marconi,Scuola Primaria
GOEE81102Q,GO,Peter Butkovic - Lingua Slovena,Scuola Primaria
GOEE80201X,GO,R. Pitteri,Scuola Primaria
PNAA80801G,PN,Aviano Arcobaleno,Scuola Infanzia
UDMM84701A,UD,G. Randaccio - Cervignano,Scuola Primo Grado
PNIC81200A,PN,Ic Monterealep.D.M.Turoldo,Istituto Comprensivo
UDEE81802C,UD,San Giovanni Bosco- Ciconicco,Scuola Primaria
UDEE830023,UD,Lusevera-vedronza,Scuola Primaria
UDEE82302X,UD,Forni di Sopra,Scuola Primaria
TSEE80202R,TS,S. Pertini,Scuola Primaria
UDEE84602L,UD,Giuseppe Garibaldi - Fiumicello,Scuola Primaria
TSMM81101D,TS,Giuseppe Caprin,Scuola Primo Grado
PNEE83301D,PN,Pn-v. Carabiniere L.Radice,Scuola Primaria
GOAA80301E,GO,Via Gramsci,Scuola Infanzia
TSPS02000R,TS,Galileo Galilei,Liceo Scientifico
GOTF00851V,GO,GALILEI - SERALE,ISTITUTO TECNICO INDUSTRIALE
UDEE83101T,UD,I. Nievo - Premariacco,Scuola Primaria
UDPS01901Q,UD,P. Paschini,Liceo Scientifico
PNEE829041,PN,S.Vito T.-prodolonee.De Amicis,Scuola Primaria
PNMM813028,PN,A. Andreuzzi,Scuola Primo Grado
GOEE801025,GO,G.Mazzini,Scuola Primaria
GOAA81103G,GO,Via Jakil Lingua Slovena,Scuola Infanzia
TSEE801021,TS,A. Pittoni,Scuola Primaria
UDAA847038,UD,Claudio D'agostina,Scuola Infanzia
GOEE802021,GO,D.Alighieri,Scuola Primaria
UDAA82304R,UD,Socchieve/mediis,Scuola Infanzia
UDEE83103X,UD,Edmondo De Amicis -remanzacco,Scuola Primaria
UDIC81600N,UD,G.Carducci - Lignano Sabbiadoro,Istituto Comprensivo
UDAA83004X,UD,Lusevera/vedronza,Scuola Infanzia
GOIC813008,GO,Istituto Comprensivo Gorizia 1,Istituto Comprensivo
TSPS010006,TS,F.Preseren-l.Ins.Slovena,Liceo Scientifico
GOTD008017,GO,Enrico Fermi,Istituto Tecnico Commerciale
UDAA82302P,UD,Forni di Sotto,Scuola Infanzia
PNEE81201C,PN,Montereale P.David M.Turoldo,Scuola Primaria
UDIS019009,UD,Paschini - Linussio,Istituto Superiore
PNEE813029,PN,Sequals-lestans G.Marconi,Scuola Primaria
GOEE801036,GO,A. Manzoni,Scuola Primaria
PNIC82900Q,PN,Ic S.Vito Al Tagliamen.M.Hack,Istituto Comprensivo
PNIC822001,PN,Ic Porcia Jacopo di Porcia,Istituto Comprensivo
GOIC81100L,GO,I.C.Doberdò In Lingua Slovena,Istituto Comprensivo
UDMM856015,UD,Sms G.D. Bertoli - Pasian di Pr,Scuola Primo Grado
PNEE80803V,PN,Aviano-marsure G.D'annunzio,Scuola Primaria
UDEE84704E,UD,Abate Biavi,Scuola Primaria
TSSD010502,TS,ENRICO E UMBERTO NORDIO,ISTITUTO D'ARTE
UDMM81601P,UD,G. Carducci - Lignano Sabb.,Scuola Primo Grado
UDAA83002T,UD,Tarcento/coia,Scuola Infanzia
UDAA82301N,UD,Forni di Sopra,Scuola Infanzia
PNSD020009,PN,Liceo Artistico Statale Enrico Galvani,Istituto d'Arte
GOIS00900R,GO,Michelangelo Buonarroti,Istituto Superiore
PNMM81202C,PN,Giovanni Pascoli,Scuola Primo Grado
GOMM80301P,GO,Giacich Ezio,Scuola Primo Grado
UDIC83100Q,UD,Tina Modotti di Premariacco,Istituto Comprensivo
UDTF01401P,UD,Iti F. Solari Tolmezzo,Istituto Tecnico Industriale
