CODICESCUOLA,Provincia,DENOMINAZIONESCUOLA,description:it
GOEE80402L,GO,C. Battisti,Scuola Primaria
UDEE823075,UD,Enemonzo,Scuola Primaria
UDEE84002N,UD,Tarvisio Centrale,Scuola Primaria
PNAA82202V,PN,Porcia - Roraipiccolo,Scuola Infanzia
UDEE813029,UD,Savogna,Scuola Primaria
UDMM83703T,UD,4 Novembre,Scuola Primo Grado
TSEE81201A,TS,C. Suvich,Scuola Primaria
UDAA85402A,UD,Tolmezzo/v.De Marchi,Scuola Infanzia
UDAA848012,UD,Corno di Rosazzo,Scuola Infanzia
UDPS01301R,UD,Albert Einstein,Liceo Scientifico
UDAA85102V,UD,Giovanni G.Lorenzoni Gagliano,Scuola Infanzia
UDAA83201C,UD,Don Oreste Paviotti Bicinicco,Scuola Infanzia
UDMM82303X,UD,N. Grassi - Villa Santina,Scuola Primo Grado
UDCT70100R,UD,Centro Terr.Le Perm.Te San Giorgio di N.,Centro Territoriale
GOAA80102X,GO,Romans D'isonzo,Scuola Infanzia
UDAA84603C,UD,Arcobaleno Villa Vicentina,Scuola Infanzia
UDAA84003D,UD,Tarvisio/camporosso,Scuola Infanzia
GOAA80402B,GO,Via Primo Maggio,Scuola Infanzia
TSEE81602P,TS,Gregoric Stepancic - L.Ins.Slov,Scuola Primaria
GOEE814027,GO,Gen.A.Pecorini,Scuola Primaria
TSEE813016,TS,F. Dardi,Scuola Primaria
UDEE81906C,UD,Scuola Primaria C. Colombo,Scuola Primaria
UDMM83701Q,UD,N. Sauro,Scuola Primo Grado
UDEE84805B,UD,Dolegnano Fr. di S. Giovanni,Scuola Primaria
UDEE83201N,UD,E. De Amicis Gonars,Scuola Primaria
UDTD01201R,UD,V. Manzini,Istituto Tecnico Commerciale e per Geometri
UDEE85502B,UD,S. Giovanni Boscocampoformido,Scuola Primaria
GOEE80401G,GO,T.C. Amelio Cuzzi,Scuola Primaria
GOAA801042,GO,Medea,Scuola Infanzia
TSAA81601C,TS,Di Servola - L.Ins.Slovena,Scuola Infanzia
UDMM84001G,UD,Giovanni Xxiii - Tarvisio,Scuola Primo Grado
GOAA814022,GO,Sc. dell'infanzia Via Gramsci,Scuola Infanzia
UDEE84603N,UD,G. Capponi - Terzo D'aquileia,Scuola Primaria
UDMM813028,UD,I.Stellini - S.Leonardo,Scuola Primo Grado
TSIC813004,TS,Ist. Compr. Divisione Julia,Istituto Comprensivo
UDIC819005,UD,Basiliano - Sedegliano,Istituto Comprensivo
UDAA82303Q,UD,Sauris di Sotto,Scuola Infanzia
GOMM801013,GO,Sc. Media Mariano del Friuli,Scuola Primo Grado
UDEE83702T,UD,G. Ellero,Scuola Primaria
PNEE81701G,PN,Chions-villotta E. De Amicis,Scuola Primaria
PNEE82502G,PN,Brugnera-maron Mazzini,Scuola Primaria
UDAA855015,UD,C. Percoto,Scuola Infanzia
TSIC81600G,TS,Ic San Giacomo-l.Ins.Slov.,Istituto Comprensivo
TSMM820018,TS,S.Gregorcic-l.Ins.Slovena,Scuola Primo Grado
UDAA849041,UD,Bertiolo,Scuola Infanzia
UDIC85200R,UD,San Daniele del Friuli,Istituto Comprensivo
UDAA820016,UD,Cassacco,Scuola Infanzia
UDEE83203Q,UD,M. Hack Bagnaria Arsa,Scuola Primaria
UDEE84601G,UD,Alessandro Manzoni - Aquileia,Scuola Primaria
UDMM84002L,UD,A. Zardini - Pontebba,Scuola Primo Grado
GOIC80400D,GO,Randaccio Giovanni,Istituto Comprensivo
UDEE823064,UD,Via M. Renier,Scuola Primaria
UDAA83702L,UD,Primi Passi,Scuola Infanzia
UDAA84001B,UD,Costantino Cologna Tarvisio,Scuola Infanzia
PNMM82501D,PN,Antonio Canova,Scuola Primo Grado
PNIC82500C,PN,Ic Brugnera Villa Varda,Istituto Comprensivo
UDIS01300A,UD,Della Bassa Friulana,Istituto Superiore
UDIC85800Q,UD,Vi - Udine,Istituto Comprensivo
PNMM81702G,PN,Sc. Sec. 1^ Grado Pravisdomini,Scuola Primo Grado
UDMM83201L,UD,T. Marzuttini - Gonars,Scuola Primo Grado
PNIC83300B,PN,Ic Rorai-cappuccini,Istituto Comprensivo
GOMM80501A,GO,Leonardo Da Vinci,Scuola Primo Grado
GOAA801053,GO,Mariano del Friuli,Scuola Infanzia
UDAA848034,UD,Manzano/v. Zorutti,Scuola Infanzia
UDEE84006T,UD,Chiusaforte,Scuola Primaria
TSAA81602D,TS,J. Ukmar - L.Ins.Slovena,Scuola Infanzia
UDMM819016,UD,M.L.King - Sedegliano,Scuola Primo Grado
UDEE82602B,UD,Pietro Zorutti - Percoto,Scuola Primaria
UDAA84007N,UD,Chiusaforte,Scuola Infanzia
GOAA814033,GO,Rosa Agazzi,Scuola Infanzia
TSMM813015,TS,Divisione Julia,Scuola Primo Grado
PNEE82501E,PN,Brugnera-tamai Sacilotto,Scuola Primaria
