operator,name,provincia,addr:city,addr:street,addr:housenumber,lon,lat,addr:postcode,chiusura,note1,note2
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Viale Palmiro Togliatti,2,12.571520021216994,41.853063000000006,00173,MAI,,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Via Alberto Pollio,50,12.5342341,41.9002133,00159,MAI,,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Viale Luigi Schiavonetti,426,12.6048745,41.8435365,00173,MAI,CARREFOUR,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Viale Di Valle Aurelia,SNC,12.4363929,41.9061455,00167,MAI,,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Corso Vittorio Emanuele Ii,275,12.4675571,41.8988862,00186,MAI,,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Viale America,143,12.4694882,41.8293026,00144,MAI,,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Via Enrico Ferri,8,12.599349833988352,41.85117005,00173,MAI,C.C. LA ROMANINA,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Via Collatina,SNC,12.582641,41.9032967,00153,MAI,C.C. ROMA EST,
GRUPPO NEGOZI SRL,LA PIADINERIA,RM,Roma,Viale Dell'Oceano Pacifico,SNC,12.4598185,41.8212777,00144,SABATO E DOMENICA,C.C. EROMA 2,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Gregorio Vii,127,12.4397948,41.8958826,00165,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Casilina,288,12.5382651,41.8811773,00176,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Viale Ventuno Aprile,23,12.5201971,41.9191856,00162,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Di Grotta Di Gregna,SNC,12.5649442,41.9083202,00155,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Via Giacomo Bove,4-A-C-D,12.4814999,41.8711025,00154,MAI,,
GS SPA,CARREFOUR MARKET,RM,Roma,Piazzale Eugenio Morelli,52,12.4428671,41.8612153,00151,MAI,,
