operator,name,provincia,addr:city,addr:street,addr:housenumber,lon,lat,addr:postcode,chiusura,note1,note2
QUATTRO FONTANE DI F.LLI IANNARILLI SNC,BAR GELATERIA PASTICCERIA QUATTRO FONTANE,RM,Roma,Via Quattro Fontane,128,12.4923341,41.9010516,00184,DOMENICA,,
QUATTRO SRLS,QUATTRO,RM,Roma,Via Marche,62,12.4904417,41.9084253,00187,DOMENICA,,
QUICIBO SRL,LA GRANOTECA FAST FOOD,RM,Roma,Via Zoe Fontana,220,12.606986256058027,41.92805025,00131,SABATO E DOMENICA,COMPRENSORIO TECNOCITTA,
R.A.F.SRL,RAF RISTORANTE PIZZERIA,RM,Roma,Via Plinio,17/A,12.4653844,41.9073121,00193,MAI,,
R.C. SRL,MAZZINI CAFFETTERIA,RM,Roma,Viale Giuseppe Mazzini,75,12.4566886,41.9157881,00195,DOMENICA,,
RA.BU. SRLS,SPAGHETTI,RM,Roma,Via Leone Iv,29,12.4551105,41.9095658,00192,MAI,,
RA.BU. SRLS,BOX,RM,Roma,Via Cicerone,29,12.4690202,41.9067463,00193,MAI,,
RA.BU. SRLS,ORTO,RM,Roma,Via Giuseppe Gioacchino Belli,142,12.7171166,41.9584826,00193,MAI,,
RAGU' SRL,ALICE PIZZA TAKE AWAY,RM,Roma,Via Collatina,858,12.6610072,41.9156089,00132,MAI,,
RAM DI LEO ANTONIO E C. SNC,BAR DANTE,RM,Roma,Via Del Corso,259,12.4798279,41.9024271,00186,MAI,,
RAM DI LEO ANTONIO E C. SNC,SOCIETA' RAM DI LEO ANTONIO E C. SNC,RM,Roma,Via Ripetta,72,12.0984514,41.9985604,00186,MAI,,
RAM SRL,VOICE,RM,Roma,Piazza John Fitzgerald Kennedy,13/14,12.5996669,41.8049586,00144,DOMENICA,,
RAMA SAS DI LEO MAURIZIO & C,ESPRESSAMENTE ILLY BAR,RM,Roma,Viale Palmiro Togliatti,2,12.571520021216994,41.853063000000006,00173,MAI,,
RAMI2016 SRLS,PIZZERIA TAVOLA CALDA,RM,Roma,Viale Cesare Pavese,368/370,12.4744966,41.817393,00144,MAI,,
RANIERI ILENIA,EAT AND GO,RM,Roma,Viale Europa,325,12.4691938,41.8308093,00144,SABATO E DOMENICA,,
RARO SRL,FRESCO RISTORANTE PIZZERIA,RM,Roma,Stazione Termini,185,,,00185,MAI,,
RE SAPORE SRL,CHIU' SAPORE,RM,Roma,Via Maputo,2,12.4449047,41.8218846,00144,MAI,,
REAL PIZZA DI MARCO CRISTINA,REAL PIZZA,RM,Roma,Via Alberto Einstein,16,12.4690645,41.8671955,00146,MAI,,
REGINA MARGHERITA SRLS,ANTICA PASTICCERIA,RM,Roma,Viale Regina Margherita,39/41,12.5053302,41.9140578,00198,DOMENICA,,
REGINA SRL,M'BARUZZO,RM,Roma,Piazza Regina Margherita,22,12.5053962,41.9137054,00198,MAI,,
REMO FIERIMONTE,BAR,RM,Roma,Via Giosuè Carducci,26/28/30,12.4941134,41.9062178,00187,DOMENICA,,
REPPA SRL,BAIAMONTI DRINK & FOOD,RM,Roma,Via Antonio Baiamonti,12,12.459963,41.9146559,00195,SABATO E DOMENICA,,
RESTAURANT SAKURA SUSHI SRL,SAKURA SUSHI RESTAURANT,RM,Roma,Porta Pia,122/123,12.501775912526433,41.909606600000004,00187,MAI,,
RICCA AVENTINO SRL,L'INSALATA RICCA,RM,Roma,Piazza Albania,38445,12.4832867,41.8799551,00153,MAI,,
RICCA CHIAVARI SRL,RISTORANTE INSALATA RICCA,RM,Roma,Largo Dei Chiavari,85,12.4739196,41.8963426,00186,MAI,,
RICCA GAZOMETRO SRL,INSALATA RICCA,RM,Roma,Via Gazometro,62,12.4793879,41.8706693,00154,MAI,,
RICCI SRLS,BINARIO 9 3/4,RM,Roma,Via Cicerone,53,12.4687838,41.9071489,00193,MAI,,
RIFRA SRL,TIKI BAR,RM,Roma,Viale America,117-123,12.4694882,41.8293026,00144,MAI,,
RINASCITA S A RLS,PAN BERNARDO,RM,Roma,Piazza Di San Bernardo,112,,,00187,DOMENICA,,
RISPARMIO PIU SRL,RISPARMIO PIU',RM,Roma,Via Borghesiana,332,12.6719091,41.8742724,00132,MAI,,
RISTO ITALIA SRL,I GABBIANI,RM,Roma,Via Vito Volterra,41,12.4708126,41.8545109,00146,MAI,,
RISTO ITALIA SRL,RISTO ITALIA SRL,RM,Roma,Via R Bianchi Bandinelli,130,12.5867116,41.817653,00178,MAI,,
RISTO ITALIA SRL,DON CARLOS,RM,Roma,Piazza Barberini,52,12.4882437,41.9037182,00187,MAI,,
RISTO1 SRLS,PASSIONE PANINO,RM,Roma,Via Enrico Ferri,8,12.599349833988352,41.85117005,00173,MAI,,
RISTO1 SRLS,PASSIONE PANINO,RM,Roma,Viale Avignone,42,12.458412,41.8207394,00144,MAI,,
RISTOCAFFE' SRL,RISTOCAFFE',RM,Roma,Via Cicerone,68,12.4679324,41.9081547,00193,DOMENICA,,
RISTOCENTER SRL,RISTOCENTER BAR TAVOLA CALDA,RM,Roma,Via Zoe Fontana,220,12.606986256058027,41.92805025,00131,SABATO E DOMENICA,CENTRO DIREZIONALE TECNOCITTA' ZONA TIBURTINA,
RISTOFIRENZE SRLS,FEEL GOOD,RM,Roma,Via Firenze,57,12.4944882,41.9016626,00184,MAI,,
RISTOITALIA S.R.L.,L'ANTICA FRASCHETTA,RM,Roma,Via Venezia,17,12.4929515,41.8999585,00184,MAI,,
RISTORANTE JULIE'S  SAS DI CAO GIULIA XUE,RISTORANTE JULIE'S,RM,Roma,Via Palestro,65,12.5069418,41.9027291,00185,DOMENICA,,
RISTOSERVICE SRL,GRAN CAFFE' BONANNI,RM,Roma,Viale Della Grande Muraglia,40/42/44,12.4556417,41.8227544,00144,MAI,,
RO.MA. SAS DI MASSIMO MARCUCCI E C.,IL CHICCO MATTO,RM,Roma,Via Cesena,16,12.5138242,41.8843468,00182,DOMENICA,,
ROAZZI ADELMO,MARGHERITA CONAD,RM,Roma,Via Augusto Dulceri,64/68,12.5342682,41.8849726,00176,DOMENICA,,
ROBERTA CERULLI,BAR TABACCHI,RM,Roma,Via Giosuè Carducci,14,12.4941134,41.9062178,00187,DOMENICA,,
ROBLU SRL,RISTORANTE LA GRANDE BELLEZZA,RM,Roma,Via Flavia,59,12.4967995,41.9068305,00187,MAI,,
ROBY PIZZA SNC DI PALLADINI FRANCESCA & C.,ALICE PIZZA,RM,Roma,Via Marche,21,12.4904417,41.9084253,00187,DOMENICA,,
ROCCA SPA,SMA SUPERMERCATO,RM,Roma,Via Trionfale,10104,12.4277732,41.9373887,00135,MAI,,
ROCCA SPA,SUPERSTORE SMA SUPERMERCATO,RM,Roma,Via Dei Laterani,39/41,12.5030898,41.884141,00184,MAI,,
ROCCA SPA,SMA SUPERMERCATO,RM,Roma,Circonvallazione Appia,190/200,12.5153411,41.875872,00179,MAI,,
ROCCA SPA,SMA SUPERMERCATO,RM,Roma,Viale Beethoven,48,12.4662665,41.832531,00144,MAI,,
ROCCA SPA,SMA SUPERMERCATO,RM,Roma,Piazza Santa Maria Maggiore,5/B,12.6976598,41.6743574,00185,MAI,,
ROGER SERVICE SOC. COOP.,MAMMA PIZZA,RM,Roma,Via Andrea Barbato,31,12.4013906,41.9305093,00168,DOMENICA,C/C TORRESINA,
ROGER SERVICE SOC. COOP.,MAMMA PIZZA,RM,Roma,Via Dei Castani,72,12.566727,41.8826474,00172,DOMENICA,,
ROGER SERVICE SOC. COOP.,MAMMA PIZZA,RM,Roma,Via Ravenna,32,12.51696,41.9132437,00161,DOMENICA,,
ROGER SERVICE SOC. COOP.,MAMMA PIZZA,RM,Roma,Via Borghesiana,253/259,12.6719091,41.8742724,00132,DOMENICA,,
ROGER SERVICE SOC. COOP.,MAMMA PIZZA,RM,Roma,Viale Palmiro Togliatti,1489/A,12.5707704,41.9125739,00155,DOMENICA,,
ROGER SERVICE SOC. COOP.,MAMMA PIZZA,RM,Roma,Via Biagio Petrocelli,240,12.6083329,41.8389711,00173,DOMENICA,,
ROMA FOOD SRL,PANICUNZATO ROMA,RM,Roma,Viale Dell'Oceano Pacifico,83,12.45950934721992,41.817101550000004,00144,MAI,C.COM EUROMA 2,
ROMAMAGNA SNC,PIADINA E CRESCIONE,RM,Roma,Via Venezia,20,12.4925682,41.9001838,00184,LUNEDI' POMERIGGIO,,
ROMANA SRL,FRATELLI LA BUFALA,RM,Roma,Via Delle Vigne Nuove,SNC,12.5355308,41.9640846,00139,MAI,C.C. PORTA DI ROMA,
ROMINA PASQUALONE,GRANGUSTO,RM,Roma,Viale Europa,312,12.4691938,41.8308093,00144,DOMENICA,,
RONCONI AMEDEO,CARNI AMEDEO E VALERIO,RM,Roma,Via Orazio Dello Sbirro,SNC,12.276632,41.7331764,00121,DOMENICA,MERCATO COPERTO BOX 11-12,
ROSATI G. SRL,BAR ROSATI,RM,Roma,Via Sabotino,37,12.4585621,41.9173728,00195,MAI,,
ROSI SRL,CARREFOUR EXPRESS,RM,Roma,Via Capo Palinuro,43381,12.2864679,41.7359147,00122,MAI,,
ROSMARINO AVEZZANA SRL,ROSMARINO AVEZZANA,RM,Roma,Via Giuseppe Avezzana,17,12.466901,41.9160804,00195,DOMENICA,,
ROSSETTI BROS SNC DI ALFONSO & PIETRO ROSSETTI,META',RM,Roma,Via Olivi,54/56/58,,,00171,MAI,,
ROYAL GOURMET SRL,TONY'S RESTURANT,RM,Roma,Via Delle Botteghe Oscure,35,12.4800024,41.8949533,00186,MAI,,
RUSCONI SRL,RUSCONI,RM,Roma,Via Bernardino Alimena,91,12.5979496,41.8484832,00173,DOMENICA,,
RUSSO GIUSEPPE,PIZZERIA RUSSO,RM,Roma,Viale Carso,27,12.4591132,41.9190171,00195,DOMENICA,,
S.A.E.D.A. SRL,CASTRONI BAR,RM,Roma,Via Ottaviano,55,12.4577401,41.9078541,00192,MAI,,
S.LLE OTTAVIANI,S.LLE OTTAVIANI BAR TC,RM,Roma,Via Crescenzio,91/B,12.4659426,41.9055688,00193,DOMENICA,,
S.S.C. SOCIETA' SVILUPPO COMMERCIALE SRL,CARREFOUR SUPERMERCATO,RM,Roma,Viale Luigi Schiavonetti,420/426/432,,,00173,MAI,,
S.S.C. SOCIETA' SVILUPPO COMMERCIALE SRL,CARREFOUR SUPERMERCATO,RM,Roma,Via Dario Niccodemi,1,12.5493477,41.9567354,00137,MAI,,
S.S.C. SOCIETA' SVILUPPO COMMERCIALE SRL,CARREFOUR IPERMERCATO,RM,Roma,Via Enrico Ferri,43,12.6007787,41.8506228,00173,MAI,CENTRO COM.LE LA ROMANINA,
SA.PE. SNC DI PELLE SPARTACO E C.,ER CAFFETTIERE,RM,Roma,Via Urbana,72/73,12.4929144,41.8949856,00184,DOMENICA,,
SA.TO. SRL,CARREFOUR EXPRESS,RM,Roma,Via Carlo Tavolacci,1,12.4713944,41.8857044,00153,MAI,,
SALAMA MOHAMED EID MOBARAK,CAFFE VALADIER,RM,Roma,Via Ennio Quirino Visconti,38,12.4696771,41.9075874,00193,DOMENICA,,
SALOTTO PORTESE SNC DI BELLITTI CATIA E FEDERICA MONTI,ROLLI 1,RM,Roma,Via Ettore Rolli,1,12.4680609,41.8764799,00153,DOMENICA,,
SALSAMENTERIA FABBI SAS,SALSAMENTERIA,RM,Roma,Via Della Croce,27/28,12.4811328,41.9065249,00187,DOMENICA,,
SALUMERIA IL CAPRICCIO DI MICOCCI PAOLO,SALUMERIA IL CAPRICCIO,RM,Roma,Via Raffaele Cadorna,33,12.4985141,41.9085929,00187,DOMENICA,,
SAMA SRL,NON SOLO CAFFE',RM,Roma,Viale Antonio Ciamarra,108/110,12.5902893,41.8559673,00173,LUNEDI',,
SAN BASILIO 2016 SRL,PIM SUPERMERCATO,RM,Roma,Via Casal Tidei,SNC,12.5782145,41.9417969,00156,MAI,,
SANDRO SAS DI F CIABATTINI E C,FORNO CIABATTINI,RM,Roma,Via Di S Croce In Gerusalemme,23,,,00185,DOMENICA POMERIGGIO,,
SANO E SALAD SNC DI FRANCESCO GALLO E DIEGO PARENTE,SANO E SALAD,RM,Roma,Via Cesare Paoletti,28,12.5001516,41.9109151,00198,DOMENICA,,
SANT' ELIA SRL,SIMPLY MARKET,RM,Roma,Via Della Giustiniana,271,12.4705762,42.0079116,00188,MAI,,
SANT' ELIA SRL,SIMPLY MARKET,RM,Roma,Via Aldo Maria Scalise,SNC,12.4109189,41.9817885,00135,MAI,ANGOLO VIA GHERARDI,
SANT' ELIA SRL,SIMPLY MARKET,RM,Roma,Via Dei Monti Di San Paolo,51,12.357608,41.7905006,00126,MAI,,
SANT' ELIA SRL,SIMPLY MARKET,RM,Roma,Via Di Macchia Saponara,251,12.3646753,41.758617,00124,MAI,,
SANT' ELIA SRL,SIMPLY MARKET,RM,Roma,Via Tripoli,134,12.5251062,41.9287891,00199,MAI,,
SANT' ELIA SRL,SIMPLY SUPERMERCATO,RM,Roma,Via Antonio Sant'elia,13,12.484387,41.930954,00197,MAI,,
SAPORE ROMANO 1 SRL,SAPORE ROMANO,RM,Roma,Via Alessandria,150,12.5005346,41.9105957,00198,MAI,,
SCACCHI VALTER,IL FORNETTO DI TRASTEVERE,RM,Roma,Viale Trastevere,128,12.3944992,41.7826788,00153,MAI,,
SCAGNOLI GESTIONI EVENTI SRL,CAFFE' GUAXUPE,RM,Roma,Via Scipioni,197,12.457841,41.9084843,00192,DOMENICA,,
SCALINGI VITTORIO,CAFFE RIT,RM,Roma,Via Calabria,33,12.5607132,42.1186727,00187,SABATO E DOMENICA,,
SCARFO' MARTINO,LE SPECIALITA' DEL FORNO E DELLA TAVOLA,RM,Roma,Via Stimigliano,43379,12.5122879,41.9346793,00199,DOMENICA,,
SCOPELLITI ANTONIO,CAFFÈ DELL' ARCO,RM,Roma,Viale Delle Milizie,88/89,12.4586561,41.9112751,00192,MAI,,
SEDICIDICIOTTO SNC,SEDICIDICIOTTO RISTORANTE,RM,Roma,Via Antoniotto Usodimare,16/18,12.4944923,41.8679824,00154,DOMENICA,,
SEDICIDICIOTTO SNC,PICCHIAPO' PANINOTECA,RM,Roma,Circonvallazione Ostiense,269,12.4934056,41.8673282,00154,DOMENICA,,
SEMAR 3017 SRL,BAR DEI CONGRESSI,RM,Roma,Viale Della Civilta Del Lavoro,126-128,12.4676864,41.8361219,00144,DOMENICA,,
SEME LUC SNC DI LUCIGNANO MANILA & C,GUSTO DI PIZZA,RM,Roma,Via Quintino Sella,47,12.4957291,41.9076898,00187,SABATO E DOMENICA,,
SERENISSIMA RISTORAZIONE SPA,MENSA PRESSO AGENZIA DELLE ENTRATE DI ROMA,RM,Roma,Via Giorgione,159,12.4931693,41.8504131,00147,MAI,,
SERENISSIMA RISTORAZIONE SPA,MENSA PRESSO AGENZIA DELLE ENTRATE DI ROMA,RM,Roma,Via Cristoforo Colombo,426,12.4867546,41.8522768,00145,MAI,,
SERENISSIMA RISTORAZIONE SPA,VICARIATO MENSA,RM,Roma,Via Della Pigna,13/A,12.4782337,41.8970492,00186,MAI,PALAZZO VICARIATO MENSA 1 PIANO,
SERENISSIMA RISTORAZIONE SPA,BAR INTERNO OSPEDALE S. GIOVANNI ADDOLORATA,RM,Roma,Via Dell'Amba Aradam,SNC,12.5014101,41.8845867,00184,MAI,OSPEDALE S. GIOVANNI ADDOLORATA,
SERIST SRL,ENAV SALARIA,RM,Roma,Via Salaria,716,12.50759026139928,41.944762749999995,00138,MAI,,
SERIST SRL,GEDI ROMA,RM,Roma,Via Cristoforo Colombo,90,12.495978,41.8664298,00147,MAI,,
SESAMO GROUP SRLS,SESAMO PIZZA E CUCINA,RM,Roma,Viale Di Trastevere,83,12.4720747,41.886744,00153,MAI,,
SGM SUPERMERCATI SRL,IPERTRISCOUNT SUPERMERCATO,RM,Roma,Via Salaria,1380,12.5181836,41.9996703,00138,MAI,,
SIDEROS SRL,CONAD MARGHERITA,RM,Roma,Via Carmelo Maestrini,251/259,12.4422913,41.7975584,00128,MAI,,
SIDEROS SRL,CONAD CITY SUPERMERCATO,RM,Roma,Via Rosa Guarnieri Carducci,29,12.490796634618171,41.857002949999995,00145,MAI,,
SILMAR SRL,ORANGE CAFE',RM,Roma,Via Garigliano,15,12.5009902,41.9198334,00198,DOMENICA,,
SIRIO DUE SRL,IL FIAMMIFERO STRANO,RM,Roma,Via Lombardia,32,12.4874906,41.907668,00187,DOMENICA,,
SIRIO SPA,BAR INTERNO POLICLINICO TOR VERGATTO TORRE 6,RM,Roma,Viale Oxford,81,12.6303302,41.8581846,00133,MAI,,
SIRIO SPA,BAR INTERNO  OSPEDALE SANT'ANDREA,RM,Roma,Via Di Grottarossa,1035/39,12.4486529,41.9728228,00189,MAI,,
SIRIO SPA,INTERNO POLICLINICO TOR VERGATA PIASTRA BAR,RM,Roma,Viale Oxford,81,12.6303302,41.8581846,00133,MAI,,
SIRIO SPA,BAR INTERNO OSPEDALE SAN FILIPPO NERI EDIFICIO A,RM,Roma,Via Giovanni Martinotti,20,12.4160664,41.9465418,00135,MAI,,
SIT SUPERMERCATI SRL,IPERTRISCOUNT SUPERMERCATO,RM,Roma,Via Di Portonaccio,72,12.5361119,41.902142,00159,MAI,"ANG VIA DOMENICO DE DOMINICIS, 38/A",
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Corsica,13,12.5090945,41.9191576,00198,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Portuense,97,12.4682308,41.8773782,00153,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Delle Gondole,SNC,12.2776772,41.7350197,00121,MAI,,
SMA SPA,SMA SUPERMERCATO,RM,Roma,Via Luigi Zambarelli,31,12.4460294,41.8775058,00152,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Dei Platani,175,12.5702159,41.8809592,00172,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Cassia,713,12.4265864,41.9746287,00189,MAI,,
SMA SPA,SMA SUPERMERCATO,RM,Roma,Via Roberto Malatesta,221/237,,,00176,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Torre Di Mezzavia,101,12.5954084,41.8384027,00173,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Cassia,1822,12.3727745,42.0579159,00123,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Ponzio Cominio,19,12.55745,41.8603188,00175,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Biagio Petrocelli,SNC,12.6083329,41.8389711,00173,MAI,,
SMA SPA,SMA SUPERMERCATO,RM,Roma,Via Cesare Ferrero Da Cambiano,82,12.4682197,41.9482811,00191,MAI,,
SMA SPA,SIMPLY SMA SUPERMERCATO,RM,Roma,Via Costanzo Casana,200,12.2681668,41.7387204,00121,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Acerenza,4/D,12.5522421,41.8418059,00178,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Cassia,865,12.4265864,41.9746287,00189,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Piazza Giureconsulti,5,12.4257266,41.9019434,00167,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Piazza Dei Re Di Roma,15/19,12.5134501,41.881323,00183,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Viale Della Primavera,194,12.56021802263739,41.88211365,00172,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Viale Della Serenissima,16,12.5585646,41.8967934,00177,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Fonteiana,59/73,12.4546502,41.8816509,00152,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Saponara,220,12.6512153,41.7456533,00125,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Portuense,323,12.4467389,41.8569599,00149,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,C.Ne Gianicolense,SNC,12.452100694422759,41.87667527285082,00152,MAI,,
SMA SPA,MY AUCHAN,RM,Roma,Viale Delle Provincie,156,12.5209455,41.9116299,00162,MAI,,
SMA SPA,PUNTO SMA,RM,Roma,Via Rubicone,39,12.5009902,41.9198334,00198,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Archimede,61,12.4801997,41.9246581,00197,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Viale Caduti Per La Resistenza,271,,,00128,MAI,,
SMA SPA,SMA SUPERMERCATO,RM,Roma,Via Due Ponti,190,,,00189,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Viale Guglielmo Marconi,176/178,12.4707132,41.8587925,00146,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Fiume Giallo,43770,12.4283293,41.8109761,00144,MAI,,
SMA SPA,IPERSIMPLY SRUPERMERCATO,RM,Roma,Via Antonio Pacinotti,10,12.4686426,41.8706474,00146,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Di Priscilla,109,12.5093509,41.9299917,00199,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Amico Aspertini,SNC,12.6265544,41.876473,00133,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Via Orlando De Tommaso,39,12.4412264,41.9198953,00136,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Viale Giuseppe Mazzini,153,12.4566886,41.9157881,00195,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Isole Del Capo Verde,SNC,12.2727971,41.7376548,00121,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Piazza Bologna,60,12.521327,41.9144018,00162,MAI,,
SMA SPA,PUNTO SMA SUPERMERCATO,RM,Roma,Piazza Pio Xi,20,12.4373365,41.8940832,00165,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Delle Cave,99/A,12.5323744,41.8717299,00181,MAI,,
SMA SPA,SIMPLY SUPERMERCATO,RM,Roma,Via Anagnina,471,12.6332776,41.805936,00118,MAI,,
SMA SPA,SMA  SUPERMERCATO,RM,Roma,Piazza Minucciano,20,12.514166,41.9529838,00139,MAI,,
SMART SNC DI DARIA ELENA FUA' E MASSIMO CANNATA,SMARTFOOD,RM,Roma,Via Di Piè Di Marmo,19/20,,,00186,DOMENICA,,
SMILE PIZZA SRLS,SMILE PIZZA,RM,Roma,Viale Oceano Indiano,83,12.4976804,41.6315189,00144,MAI,,
SNACK BAR DI SILIPO DAMIANO,SNACK BAR,RM,Roma,Via La Spezia,30/A,12.5144548,41.8861993,00182,DOMENICA,,
SOC. SONNINO 91 SRL,QUELLI DI PIAZZA SONNINO,RM,Roma,Piazza Sidney Sonnino,23,12.4740098,41.8894789,00153,DOMENICA,,
SODIFO SRL,SODIFO,RM,Roma,Largo Esopo,46,12.3465635,41.7445959,00124,MAI,,
SORRISO SRL,GECO,RM,Roma,Piazza Guglielmo Marconi,23,12.4705265,41.8335959,00144,MAI,,
SOUND FOOD SRLS,SOUND FOOD BAR,RM,Roma,Piazza Eugenio Biffi,43445,12.4903439,41.8665227,00154,MAI,,
SOUPER SRL,BIS,RM,Roma,Via Giovanni Vitelleschi,38/40,12.4614851,41.9047693,00193,SABATO E DOMENICA,,
SPACE CAFFE' SRL,CAFFETTERIA GUIDO,RM,Roma,Via Pellegrino Matteucci,58/60,12.4834289,41.8718215,00154,MAI,,
SPAM SRL,CARREFOUR MARKET,RM,Roma,Via Di Valle Muricana,576,12.4786582,42.0096454,00188,MAI,,
SPC SRL,SUPERMERCATO PAM,RM,Roma,Piazza Della Balduina,48,12.4417651,41.919488,00136,MAI,,
SPESA FACILE SRL,RISPARMIO PIU',RM,Roma,Via Benozzo Gozzoli,60,12.490366440195256,41.8344348,00142,DOMENICA POMERIGGIO,,
SPESA FACILE SRL,SPESA FACILE SUPERMERCATO,RM,Roma,Via Tor Dè Schiavi,394,12.5608725,41.8894246,00171,MAI,,
SPLENDORI CLAUDIO,QUELLI DI VIA NIZZA,RM,Roma,Via Nizza,16,12.5002095,41.912433,00198,MAI,,
SQUARCIA ALESSANDRO,MACELLLERIA SQUARCIA,RM,Roma,Via Delle Sette Chiese,18,12.4897412,41.8606313,00145,DOMENICA,,
STAR FOOD 2017 SRLS,STAR FOOD,RM,Roma,Via Andrea Meldola,87/91,12.507107,41.823513,00143,SABATO E DOMENICA,,
START SNC,SPACCIO ALIMENTARE,RM,Roma,Viale Giorgio Ribotta,5,12.4587433,41.8202225,00144,SABATO E DOMENICA,,
STEMAR SRL,CONAD SUPERMERCATO,RM,Roma,Via Di Grottarossa,169,12.4486529,41.9728228,00189,MAI,,
STRAPIZZAMI SRL,STRAPPIZZAMI,RM,Roma,Via Quintino Sella,19/21,12.4957291,41.9076898,00187,SABATO E DOMENICA,,
STRISCIA LA PIZZA SNC,STRISCIA LA PIZZA,RM,Roma,Via Milano,33,12.4896048,41.8994339,00184,MAI,,
SVESS SRL,GRAN CAFFE' SALERNO,RM,Roma,Via Delle Fiamme Gialle,31,12.2916446,41.7342715,00122,MAI,,
T.R.M. GESTIONI SRL,RECAFE',RM,Roma,Piazza Imperatore Augusto,36,12.495508895454545,41.6652019,00186,MAI,,
TACCO SRL,BAR TACCO,RM,Roma,Viale Dello Scalo San Lorenzo,23,12.5161977,41.8936804,00185,DOMENICA,,
TALENTI SRL,CONAD,RM,Roma,Via Ugo Ojetti,SNC,12.5523297,41.9447107,00137,DOMENICA,,
TALIANI SRL,BAR TALIANI,RM,Roma,Via Genova,26/28,12.4917373,41.8996304,00184,MAI,,
TARALLO MARCO,BAR BRAZIL,RM,Roma,Via Rodolfo Lanciani,23,12.5206207,41.9210644,00162,DOMENICA,,
TAVERNA RISORGIMENTO SNC,L' INSALATA RICCA,RM,Roma,Piazza Risorgimento,43223,12.098743984475838,41.998282450000005,00192,MAI,,
TAVERNA ROSSINI SRL,TAVERNA ROSSINI,RM,Roma,Viale Gioacchino Rossini,60,11.7845993,42.1385467,00198,MAI,,
T-BONE 8 SRL,T-BURGER STATION,RM,Roma,Piazza Istria,16,12.5124568,41.9229412,00198,MAI,,
T-BONE 8 SRL,T-BURGER STATION,RM,Roma,Via Appia Nuova,336,12.5216068,41.8757387,00181,MAI,,
T-BONE 8 SRL,T-BURGER STATION,RM,Roma,Via Della Palombella,34/35,12.4765215,41.8981889,00186,MAI,,
T-BONE SRL,T-BONE STATION TB1,RM,Roma,Via Francesco Crispi,25/31,12.4859016,41.9046819,00187,MAI,,
T-BONE SRL,T-BONE STATION TB2,RM,Roma,Via Flaminia,525,12.4848125,41.9509198,00191,MAI,,
T-BONE SRL,T-BONE STATION TB3,RM,Roma,Via Di Santa Dorotea,21,12.4682193,41.8920152,00153,MAI,,
T-BONE SRL,T-BONE STATION TB6,RM,Roma,Via Vittoria Colonna,21,12.826338,41.732155,00193,MAI,,
TESTA IVANO,DROGHERIA,RM,Roma,Via Luciano Manara,61,12.4703803,41.8879394,00153,DOMENICA,,
TESTA SRL,HAM HOLY BURGER,RM,Roma,Via Chiana,54/60,12.5042443,41.9220737,00198,MAI,,
TIBA ANTONELA,AMERICAN BAR,RM,Roma,Via Emilia,52/54,12.4884049,41.907899,00187,MAI,,
TIELLA E PANZEROTTI SRLS,TIELLA E PANZEROTTI,RM,Roma,Via Carlo Citerni,15,12.4931446,41.8679018,00154,DOMENICA,,
TIRRENO INSIEME SRL,CONAD CITY,RM,Roma,Via Angelo Emo,37,12.4476279,41.904995,00136,MAI,,
